Route Name,Grade,Ascents
★ Doi Jidani,6/6+,7
★★ Sprintria,5+,7
★★ Ma' friend,{FR} 6c+,7
★ Purple Finger,{FR} 6b+ UIAA:7+/8-,7
★★ Peretele Suspendat,6+ A1 4B,7
★★ Clasic,6,7
★★ Miss Bulău,7/7+,7
★★ Șatra,6+,7
★★ Teneș,6+,7
★★ Buna Mili,{FR} 5b,7
★★ Evgenia,{FR} 5b,7
★★ Cum vrei tu,6-,7
★★ Muierii's crack,{FR} 5b,7
★★★ Ultimul negru,7+,7
★★ Fals şi uz de fals,4+,7
★★ Ocnele mari extensie,5+,7
Warm Up,6+,7
★ Dănilă,6,7
★ Prepeleac,5,7
★★★ Cucul,6+,7
★ Constipație,{FR} 6b+,7
Lizuca,6+,7
★★★ Apa,{FR} 7a,7
★★★ Tao Rossa,7-,7
★★ Absolventul de universitate,FR:6b+,7
★★ Pantagruel,7-,7
★★★ Salată,{FR} 5c/c+,7
Czici,6,7
Talk About Your Life,{FR} 5b,7
Bubbles,{FR} 3c/c+,7
★★ Hai că poc,7,7
★★★ Morpheus,{FR} 6b+,7
Chipped ★★★ Morpheus,{FR} 7a,7
★★ Vulpea,6+,7
★★★ Lespezile Lirei,7+,7
★★ Extemporal,FR:6a+,7
★★ Creasta Frumoasă,5,7
★★ Winds,7-,7
Clepsidra,7,7
★★ Super Mario,6+,7
★★★ Mucosolvan,{FR} 6c,6
★★★ Muadib,{FR} 7b+,6
★★ Hagal,M9,6
★★★ Rooler,7+,6
★ Bayraktar,{FR} 7c,6
★★★ ROMBAC,{FR} 6b,6
★★★ Shahed,{FR} 6b+,6
★★★ Omega,6,6
Sofa Surfing,5+,6
★★ Thinking,FR:7a,6
Chipped ★★ Ela,{FR} 7a,6
★★ Lespezi,6+,6
Pinocchio,{FR} 6b+,6
Leu' lesios,7-,6
★★ Foofa,7,6
Maromet,4,6
Acuzatul,7-,6
★★ Mitoman de carieră,7-,6
★★ Salvați Roșia Montană,7+,6
★★ Party in Delhy,7,6
Cega,6+,6
Râma,{FR} 5b,6
★★ Killer bee,7+,6
★★★ Viespea,7-,6
★ Lapiez,5+,6
★ Părerea lui Marius,{FR} 5b,6
Traseul Spintecăturii,6+ A1 4A,6
★★ Cistocel,{FR} 5a,6
★★ Primul S.,5+/6-,6
Omega,6-,6
★★ Domnitor,6+,6
★★ Chicken,{FR} 5b,6
Valea Coştilei,1B,6
★★★ Raza Soarelui,{FR} 7b,6
★★ Pintenul Măgarului,5,6
Escalator,6,6
★★ Second ear,6,6
★★★ Sebi,6,6
★★ Epi,6-,6
★★★ Inox,{FR} 6b,6
★★ Valea Seacă dintre Clăi,1B,6
★ Cangurul,7- A0 4B,6
★★ Muchia Buteanului,1A,6
★★ Amanet,6-/6,6
★ Ouzo,7-,6
★★ De duzină,4+,6
★★ Kisst,7,6
★ Comet,6+,6
★★ Crescendo,7,6
★★ Șarpele,6-,6
★★★ Bacalaureat,FR:6b+,6
★★ Iskola,6/6+,6
R26,6,6
V33,6,6
★★★ Brâna Mare a Coștilei,1A,6
★★★ Diedrul Cuiburilor de Șoimi,{FR} 6a+ A0,6
★★ Muchia Nord-Vestică,5 3A,6
5,M6/7,6
★★ 8,M6,6
★★ Io,{FR} 5c,6
★★ Barro,6-,6
★★ Bimbo,6+,6
★★★ Bursuc,7-,6
Prieteniei,5,6
Joannes,4,6
Albișoara Turnurilor,1B,6
★ Manda,6,6
★★ Marku cel cu Arku,7,6
★★ Și cum vreau eu,5+,6
Concurs,5,6
Sile,7-,6
★★ Diedrul cu țanc,6-,6
★★★ Dance 4 Life,M9,6
★★ Na miújság,7-,6
★★ New Balance,7/7+,6
★★★ G.E.58,6,6
★ Alfa,5+,6
★★ Chiflette Mincinoase,{FR} 5c,6
★★ Demolatorul,7,6
Lactobar,{FR} 5c,6
★★ Tom gegetel,6+,6
★★★ Bossaball,{FR} 6a+,6
Dolly,7-,6
★★ Quiz,7,6
Chipped ★ Senza Paura,8,6
★★ Pisang,{FR} 6a,6
"★★ Tache, Ianche și Cadâr",{FR} 6b/b+,6
★★ Chiruca,{FR} 5b+,6
★★ Strumfița,{FR} 5c,6
★★ Svetlana,{FR} 5c,6
Salam de biscuiți,{FR} 5c,6
★★ Semper Fidelis,7,6
★ Be Happy,7,6
